,quantity
2014-06-24,4956.0
2014-06-25,5752.0
2014-06-26,7083.0
2014-06-27,9641.0
2014-06-28,9161.0
2014-06-29,4165.0
2014-06-30,4302.0
2014-07-01,4591.0
2014-07-02,5081.0
2014-07-03,6418.0
2014-07-04,8589.0
2014-07-05,8370.0
2014-07-06,4035.0
2014-07-07,4432.0
2014-07-08,4127.0
2014-07-09,4634.0
2014-07-10,5667.0
2014-07-11,7921.0
2014-07-12,7668.0
2014-07-13,4107.0
2014-07-14,4430.0
2014-07-15,4285.0
2014-07-16,4804.0
2014-07-17,6341.0
2014-07-18,8918.0
2014-07-19,7668.0
2014-07-20,3568.0
2014-07-21,4518.0
2014-07-22,4603.0
2014-07-23,5399.0
2014-07-24,6120.0
2014-07-25,8178.0
2014-07-26,7247.0
2014-07-27,3642.0
2014-07-28,4611.0
2014-07-29,3767.0
2014-07-30,4762.0
2014-07-31,5894.0
2014-08-01,8286.0
2014-08-02,7512.0
2014-08-03,3443.0
2014-08-04,4065.0
2014-08-05,3832.0
2014-08-06,4586.0
2014-08-07,5728.0
2014-08-08,7480.0
2014-08-09,7654.0
2014-08-10,2640.0
2014-08-11,3704.0
2014-08-12,3826.0
2014-08-13,4474.0
2014-08-14,5681.0
2014-08-15,8188.0
2014-08-16,7757.0
2014-08-17,3829.0
2014-08-18,3757.0
2014-08-19,3529.0
2014-08-20,4769.0
2014-08-21,5811.0
2014-08-22,8729.0
2014-08-23,8983.0
2014-08-24,3685.0
2014-08-25,3584.0
2014-08-26,3984.0
2014-08-27,4640.0
2014-08-28,6080.0
2014-08-29,8476.0
2014-08-30,8227.0
2014-08-31,3782.0
2014-09-01,4085.0
2014-09-02,3868.0
2014-09-03,4540.0
2014-09-04,5812.0
2014-09-05,8141.0
2014-09-06,7746.0
2014-09-07,3889.0
2014-09-08,3980.0
2014-09-09,3733.0
2014-09-10,3441.0
2014-09-11,5070.0
2014-09-12,7321.0
2014-09-13,6766.0
2014-09-14,3509.0
2014-09-15,3995.0
2014-09-16,3631.0
2014-09-17,3687.0
2014-09-18,4909.0
2014-09-19,7044.0
2014-09-20,6662.0
2014-09-21,3548.0
2014-09-22,3805.0
2014-09-23,3597.0
2014-09-24,3889.0
2014-09-25,5137.0
2014-09-26,6408.0
2014-09-27,6900.0
2014-09-28,3435.0
2014-09-29,3557.0
2014-09-30,3266.0
2014-10-01,3734.0
2014-10-02,4839.0
2014-10-03,6440.0
2014-10-04,6912.0
2014-10-05,3420.0
2014-10-06,3405.0
2014-10-07,3288.0
2014-10-08,5764.0
2014-10-09,6251.0
2014-10-10,8273.0
2014-10-11,7898.0
2014-10-12,3791.0
2014-10-13,3123.0
2014-10-14,3380.0
2014-10-15,6498.0
2014-10-16,7228.0
2014-10-17,9742.0
2014-10-18,9407.0
2014-10-19,5041.0
2014-10-20,5223.0
2014-10-21,4462.0
2014-10-22,5935.0
2014-10-23,7735.0
2014-10-24,9466.0
2014-10-25,9398.0
2014-10-26,4981.0
2014-10-27,5129.0
2014-10-28,5043.0
2014-10-29,5624.0
2014-10-30,7461.0
2014-10-31,10022.0
2014-11-01,8899.0
2014-11-02,5833.0
2014-11-03,4532.0
2014-11-04,5041.0
2014-11-05,6822.0
2014-11-06,8448.0
2014-11-07,11145.0
2014-11-08,10691.0
2014-11-09,5661.0
2014-11-10,5644.0
2014-11-11,5183.0
2014-11-12,6000.0
2014-11-13,7276.0
2014-11-14,10762.0
2014-11-15,10643.0
2014-11-16,5823.0
2014-11-17,5702.0
